question_type,category_slug,difficulty,question_en,question_ar,option_a,option_b,option_c,option_d,correct_answer,explanation_en,explanation_ar,image_slug,hint,brand_category
guess_player,guess-player,medium,Which Brazilian striker was known as 'R9'?,Ø£ÙŠ Ù…Ù‡Ø§Ø¬Ù… Ø¨Ø±Ø§Ø²ÙŠÙ„ÙŠ Ø¹ÙØ±Ù Ø¨Ø§Ø³Ù… 'R9'ØŸ,Rivaldo,Ronaldinho,Ronaldo NazÃ¡rio,Robinho,Ronaldo NazÃ¡rio,"Ronaldo NazÃ¡rio, known as R9, was a legendary Brazilian striker who won two World Cups.",Ø±ÙˆÙ†Ø§Ù„Ø¯Ùˆ Ù†Ø§Ø²Ø§Ø±ÙŠÙˆ Ø§Ù„Ù…Ø¹Ø±ÙˆÙ Ø¨Ù€ R9 ÙƒØ§Ù† Ù…Ù‡Ø§Ø¬Ù…Ø§Ù‹ Ø¨Ø±Ø§Ø²ÙŠÙ„ÙŠØ§Ù‹ Ø£Ø³Ø·ÙˆØ±ÙŠØ§Ù‹ ÙØ§Ø² Ø¨ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù… Ù…Ø±ØªÙŠÙ†.,r9,"He played for Barcelona and Real Madrid in the 1990s and 2000s",
guess_player,guess-player,medium,Which player is known as 'The Egyptian King'?,Ø£ÙŠ Ù„Ø§Ø¹Ø¨ ÙŠØ¹Ø±Ù Ø¨Ø§Ø³Ù… 'Ø§Ù„Ù…Ù„Ùƒ Ø§Ù„Ù…ØµØ±ÙŠ'ØŸ,Salah,Mane,Mahrez,Aboutrika,Salah,"Mohamed Salah is known as 'The Egyptian King' and is one of the best African players.",Ù…Ø­Ù…Ø¯ ØµÙ„Ø§Ø­ ÙŠØ¹Ø±Ù Ø¨Ø§Ø³Ù… 'Ø§Ù„Ù…Ù„Ùƒ Ø§Ù„Ù…ØµØ±ÙŠ' ÙˆÙ‡Ùˆ Ø£Ø­Ø¯ Ø£ÙØ¶Ù„ Ø§Ù„Ù„Ø§Ø¹Ø¨ÙŠÙ† Ø§Ù„Ø£ÙØ§Ø±Ù‚Ø©.,salah,"He plays for Liverpool and Egypt",
guess_player,guess-player,hard,Who is the only player to win three Champions League titles as a manager?,Ù…Ù† Ù‡Ùˆ Ø§Ù„Ù„Ø§Ø¹Ø¨ Ø§Ù„ÙˆØ­ÙŠØ¯ Ø§Ù„Ø°ÙŠ ÙØ§Ø² Ø¨Ø¯ÙˆØ±ÙŠ Ø£Ø¨Ø·Ø§Ù„ Ø£ÙˆØ±ÙˆØ¨Ø§ Ø«Ù„Ø§Ø« Ù…Ø±Ø§Øª ÙƒÙ…Ø¯Ø±Ø¨ØŸ,Pep Guardiola,Carlo Ancelotti,Sir Alex Ferguson,Zinedine Zidane,Carlo Ancelotti,"Ancelotti won as a player (1989, 1990) and as a manager (2003, 2007, 2014, 2022, 2024).",Ø£Ù†Ø´ÙŠÙ„ÙˆØªÙŠ ÙØ§Ø² ÙƒÙ„Ø§Ø¹Ø¨ (1989ØŒ 1990) ÙˆÙƒÙ…Ø¯Ø±Ø¨ (2003ØŒ 2007ØŒ 2014ØŒ 2022ØŒ 2024).,ancelotti,"Wears glasses and is known for his calm demeanor",
guess_player,guess-player,easy,Which player has won 7 Ballon d'Or awards?,Ø£ÙŠ Ù„Ø§Ø¹Ø¨ ÙØ§Ø² Ø¨Ø¬Ø§Ø¦Ø²Ø© Ø§Ù„ÙƒØ±Ø© Ø§Ù„Ø°Ù‡Ø¨ÙŠØ© 7 Ù…Ø±Ø§ØªØŸ,Ronaldo,Neymar,Mbappe,Messi,Messi,"Messi has won a record 8 Ballon d'Or awards as of 2025.",Ø­Ù‚Ù‚ Ù…ÙŠØ³ÙŠ Ø±Ù‚Ù…Ø§Ù‹ Ù‚ÙŠØ§Ø³ÙŠØ§Ù‹ Ø¨Ù€ 8 ÙƒØ±Ø§Øª Ø°Ù‡Ø¨ÙŠØ© Ø­ØªÙ‰ 2025.,messi,Argentinian forward who now plays in the USA,
guess_player,guess-player,medium,Which goalkeeper scored a last-minute header in the Champions League?,Ø£ÙŠ Ø­Ø§Ø±Ø³ Ù…Ø±Ù…Ù‰ Ø³Ø¬Ù„ Ù‡Ø¯ÙØ§Ù‹ Ø¨Ø§Ù„Ø±Ø£Ø³ ÙÙŠ Ø§Ù„Ø¯Ù‚ÙŠÙ‚Ø© Ø§Ù„Ø£Ø®ÙŠØ±Ø© ÙÙŠ Ø¯ÙˆØ±ÙŠ Ø§Ù„Ø£Ø¨Ø·Ø§Ù„ØŸ,Buffon,Neuer,Courtois,Alisson,Alisson,"Alisson Becker scored a dramatic 95th-minute winner for Liverpool vs West Brom in 2021.",Ø£Ù„ÙŠØ³ÙˆÙ† Ø¨ÙŠÙƒØ± Ø³Ø¬Ù„ Ù‡Ø¯ÙØ§Ù‹ Ø¯Ø±Ø§Ù…Ø§ØªÙŠÙƒÙŠØ§Ù‹ ÙÙŠ Ø§Ù„Ø¯Ù‚ÙŠÙ‚Ø© 95 Ù„Ù„ÙŠÙØ±Ø¨ÙˆÙ„ Ø¶Ø¯ ÙˆØ³Øª Ø¨Ø±ÙˆÙ…ÙŠØªØ´ ÙÙŠ 2021.,alisson,Brazilian goalkeeper for Liverpool,
guess_logo,guess-logo,medium,Which football club has this logo? - A red devil,Ø£ÙŠ Ù†Ø§Ø¯ÙŠ ÙƒØ±Ø© Ù‚Ø¯Ù… Ù„Ù‡ Ù‡Ø°Ø§ Ø§Ù„Ø´Ø¹Ø§Ø±ØŸ - Ø´ÙŠØ·Ø§Ù† Ø£Ø­Ù…Ø±,Arsenal,Chelsea,Manchester United,Liverpool,Manchester United,"Manchester United's logo features a red devil, earning them the nickname 'Red Devils'.",Ø´Ø¹Ø§Ø± Ù…Ø§Ù†Ø´Ø³ØªØ± ÙŠÙˆÙ†Ø§ÙŠØªØ¯ ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø´ÙŠØ·Ø§Ù† Ø£Ø­Ù…Ø±ØŒ Ù…Ù…Ø§ Ø£ÙƒØ³Ø¨Ù‡Ù… Ù„Ù‚Ø¨ 'Ø§Ù„Ø´ÙŠØ§Ø·ÙŠÙ† Ø§Ù„Ø­Ù…Ø±'.,manutd,English club based in Manchester,
guess_logo,guess-logo,medium,Which logo has three stars above a blue shield?,Ø£ÙŠ Ø´Ø¹Ø§Ø± ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø«Ù„Ø§Ø« Ù†Ø¬ÙˆÙ… ÙÙˆÙ‚ Ø¯Ø±Ø¹ Ø£Ø²Ø±Ù‚ØŸ,"Manchester City",Inter Milan,Barcelona,Real Madrid,"Manchester City","Manchester City's logo features three gold stars above a blue shield.",Ø´Ø¹Ø§Ø± Ù…Ø§Ù†Ø´Ø³ØªØ± Ø³ÙŠØªÙŠ ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø«Ù„Ø§Ø« Ù†Ø¬ÙˆÙ… Ø°Ù‡Ø¨ÙŠØ© ÙÙˆÙ‚ Ø¯Ø±Ø¹ Ø£Ø²Ø±Ù‚.,mancity,Current champions of England,
guess_logo,guess-logo,easy,Which club has a rooster in its logo?,Ø£ÙŠ Ù†Ø§Ø¯ÙŠ Ù„Ø¯ÙŠÙ‡ Ø¯ÙŠÙƒ ÙÙŠ Ø´Ø¹Ø§Ø±Ù‡ØŸ,Tottenham,Roma,PSG,Arsenal,Tottenham,"Tottenham's logo features a cockerel standing on a football.",Ø´Ø¹Ø§Ø± ØªÙˆØªÙ†Ù‡Ø§Ù… ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø¯ÙŠÙƒ ÙˆØ§Ù‚Ù Ø¹Ù„Ù‰ ÙƒØ±Ø© Ù‚Ø¯Ù….,tottenham,North London club,
guess_logo,guess-logo,hard,Which logo features a serpent?,Ø£ÙŠ Ø´Ø¹Ø§Ø± ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø£ÙØ¹Ù‰ØŸ,"AC Milan","Inter Milan",AS Roma,Lazio,"Inter Milan","Inter Milan's logo features a serpent (biscione) which is a Milanese symbol.",Ø´Ø¹Ø§Ø± Ø¥Ù†ØªØ± Ù…ÙŠÙ„Ø§Ù† ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ Ø£ÙØ¹Ù‰ (Ø¨ÙŠØ³ÙŠÙˆÙ†ÙŠ) ÙˆÙ‡Ùˆ Ø±Ù…Ø² Ù…ÙŠÙ„Ø§Ù†ÙŠ.,inter,Italian club with blue and black stripes,
guess_logo,guess-logo,medium,Which team has a ship in its badge?,Ø£ÙŠ ÙØ±ÙŠÙ‚ Ù„Ø¯ÙŠÙ‡ Ø³ÙÙŠÙ†Ø© ÙÙŠ Ø´Ø¹Ø§Ø±Ù‡ØŸ,Barcelona,Valencia,Real Madrid,Atletico Madrid,Barcelona,"Barcelona's badge features the cross of Saint George and the Catalan flag.",Ø´Ø¹Ø§Ø± Ø¨Ø±Ø´Ù„ÙˆÙ†Ø© ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ ØµÙ„ÙŠØ¨ Ø§Ù„Ù‚Ø¯ÙŠØ³ Ø¬ÙˆØ±Ø¬ ÙˆØ¹Ù„Ù… ÙƒØªØ§Ù„ÙˆÙ†ÙŠØ§.,barca,Catalan club with blue and red stripes,
guess_brand,guess-brand,medium,Which sportswear brand has three stripes?,Ø£ÙŠ Ø¹Ù„Ø§Ù…Ø© Ø±ÙŠØ§Ø¶ÙŠØ© Ù„Ø¯ÙŠÙ‡Ø§ Ø«Ù„Ø§Ø«Ø© Ø®Ø·ÙˆØ·ØŸ,Nike,Adidas,Puma,Reebok,Adidas,"Adidas is known for its iconic three-stripe logo, one of the most recognizable sportswear brands.",Ø£Ø¯ÙŠØ¯Ø§Ø³ Ù…Ø¹Ø±ÙˆÙØ© Ø¨Ø´Ø¹Ø§Ø±Ù‡Ø§ Ø§Ù„Ø´Ù‡ÙŠØ± Ø°Ùˆ Ø§Ù„Ø«Ù„Ø§Ø«Ø© Ø®Ø·ÙˆØ·ØŒ ÙˆÙ‡ÙŠ Ù…Ù† Ø£Ø´Ù‡Ø± Ø§Ù„Ø¹Ù„Ø§Ù…Ø§Øª Ø§Ù„Ø±ÙŠØ§Ø¶ÙŠØ©.,adidas,German brand founded by Adolf Dassler,Sportswear
guess_brand,guess-brand,easy,Which brand is associated with the slogan 'Just Do It'?,Ø£ÙŠ Ø¹Ù„Ø§Ù…Ø© ØªØ¬Ø§Ø±ÙŠØ© Ù…Ø±ØªØ¨Ø·Ø© Ø¨Ø´Ø¹Ø§Ø± 'Just Do It'ØŸ,Adidas,Puma,Nike,Under Armour,Nike,"Nike's 'Just Do It' is one of the most famous advertising slogans in history.",Ø´Ø¹Ø§Ø± 'Just Do It' Ù…Ù† Ù†Ø§ÙŠÙƒ Ù‡Ùˆ Ø£Ø­Ø¯ Ø£Ø´Ù‡Ø± Ø´Ø¹Ø§Ø±Ø§Øª Ø§Ù„Ø¥Ø¹Ù„Ø§Ù† ÙÙŠ Ø§Ù„ØªØ§Ø±ÙŠØ®.,nike,American sportswear giant with a swoosh logo,Sportswear
guess_brand,guess-brand,medium,Which brand manufactures the official World Cup match ball?,Ø£ÙŠ Ø¹Ù„Ø§Ù…Ø© ØªØ¬Ø§Ø±ÙŠØ© ØªØµÙ†Ø¹ ÙƒØ±Ø© Ø§Ù„Ù…Ø¨Ø§Ø±ÙŠØ§Øª Ø§Ù„Ø±Ø³Ù…ÙŠØ© Ù„ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù…ØŸ,Nike,Puma,Adidas,Select,Adidas,"Adidas has been the official ball supplier for FIFA World Cup since 1970.",Ø£Ø¯ÙŠØ¯Ø§Ø³ Ù‡ÙŠ Ø§Ù„Ù…ÙˆØ±Ø¯ Ø§Ù„Ø±Ø³Ù…ÙŠ Ù„Ù„ÙƒØ±Ø© ÙÙŠ ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù… Ù…Ù†Ø° 1970.,adidas-ball,Three stripes brand that also makes the Al Rihla ball,Sportswear
guess_brand,guess-brand,easy,Which energy drink brand sponsors many football clubs?,Ø£ÙŠ Ø¹Ù„Ø§Ù…Ø© Ù…Ø´Ø±ÙˆØ¨Ø§Øª Ø·Ø§Ù‚Ø© ØªØ±Ø¹Ù‰ Ø§Ù„Ø¹Ø¯ÙŠØ¯ Ù…Ù† Ø£Ù†Ø¯ÙŠØ© ÙƒØ±Ø© Ø§Ù„Ù‚Ø¯Ù…ØŸ,"Red Bull",Monster,Gatorade,Powerade,"Red Bull","Red Bull sponsors multiple football clubs worldwide including RB Leipzig and FC Red Bull Salzburg.",Ø±ÙŠØ¯ Ø¨ÙˆÙ„ ØªØ±Ø¹Ù‰ Ø§Ù„Ø¹Ø¯ÙŠØ¯ Ù…Ù† Ø£Ù†Ø¯ÙŠØ© ÙƒØ±Ø© Ø§Ù„Ù‚Ø¯Ù… Ø­ÙˆÙ„ Ø§Ù„Ø¹Ø§Ù„Ù….,redbull,Silver and blue can with two bulls,Energy Drink
guess_brand,guess-brand,hard,Which car brand sponsors the UEFA Champions League?,Ø£ÙŠ Ø¹Ù„Ø§Ù…Ø© Ø³ÙŠØ§Ø±Ø§Øª ØªØ±Ø¹Ù‰ Ø¯ÙˆØ±ÙŠ Ø£Ø¨Ø·Ø§Ù„ Ø£ÙˆØ±ÙˆØ¨Ø§ØŸ,Mercedes,BMW,Audi,Volkswagen,Mercedes,"Mercedes-Benz has been a sponsor of the UEFA Champions League since 2024.",Ù…Ø±Ø³ÙŠØ¯Ø³ Ø¨Ù†Ø² ØªØ±Ø¹Ù‰ Ø¯ÙˆØ±ÙŠ Ø£Ø¨Ø·Ø§Ù„ Ø£ÙˆØ±ÙˆØ¨Ø§ Ù…Ù†Ø° 2024.,mercedes,German luxury car brand with a three-pointed star,Automotive
guess_tech_brand,guess-tech-brand,medium,Which tech company makes the iPhone?,Ø£ÙŠ Ø´Ø±ÙƒØ© ØªÙ‚Ù†ÙŠØ© ØªØµÙ†Ø¹ iPhoneØŸ,Samsung,Google,Apple,Microsoft,Apple,"Apple Inc. designs and manufactures the iPhone, one of the world's most popular smartphones.",Ø´Ø±ÙƒØ© Apple ØªØµÙ…Ù… ÙˆØªØµÙ†Ø¹ iPhoneØŒ Ø£Ø­Ø¯ Ø£Ø´Ù‡Ø± Ø§Ù„Ù‡ÙˆØ§ØªÙ Ø§Ù„Ø°ÙƒÙŠØ© ÙÙŠ Ø§Ù„Ø¹Ø§Ù„Ù….,apple,"Fruit-named company with a bitten apple logo",Tech
guess_tech_brand,guess-tech-brand,easy,Which company owns Instagram?,Ø£ÙŠ Ø´Ø±ÙƒØ© ØªÙ…Ù„Ùƒ InstagramØŸ,Google,Apple,Microsoft,Meta,Meta,"Meta Platforms Inc. (formerly Facebook) owns Instagram, WhatsApp, and Facebook.",Ø´Ø±ÙƒØ© Ù…ÙŠØªØ§ (ÙÙŠØ³Ø¨ÙˆÙƒ Ø³Ø§Ø¨Ù‚Ø§Ù‹) ØªÙ…Ù„Ùƒ Ø¥Ù†Ø³ØªØºØ±Ø§Ù… ÙˆÙˆØ§ØªØ³Ø§Ø¨ ÙˆÙÙŠØ³Ø¨ÙˆÙƒ.,meta,"Social media giant founded by Mark Zuckerberg",Tech
guess_tech_brand,guess-tech-brand,medium,Which search engine is the most used worldwide?,Ø£ÙŠ Ù…Ø­Ø±Ùƒ Ø¨Ø­Ø« Ù‡Ùˆ Ø§Ù„Ø£ÙƒØ«Ø± Ø§Ø³ØªØ®Ø¯Ø§Ù…Ø§Ù‹ ÙÙŠ Ø§Ù„Ø¹Ø§Ù„Ù…ØŸ,Bing,Yahoo,DuckDuckGo,Google,Google,"Google processes over 8.5 billion searches per day worldwide.",ØºÙˆØºÙ„ ÙŠØ¹Ø§Ù„Ø¬ Ø£ÙƒØ«Ø± Ù…Ù† 8.5 Ù…Ù„ÙŠØ§Ø± Ø¨Ø­Ø« ÙŠÙˆÙ…ÙŠØ§Ù‹ Ø­ÙˆÙ„ Ø§Ù„Ø¹Ø§Ù„Ù….,google,"Colorful letters on a white background",Tech
guess_tech_brand,guess-tech-brand,medium,Which company makes the PlayStation?,Ø£ÙŠ Ø´Ø±ÙƒØ© ØªØµÙ†Ø¹ PlayStationØŸ,Microsoft,Nintendo,Sony,Sega,Sony,"Sony Interactive Entertainment develops and publishes the PlayStation series.",Ø³ÙˆÙ†ÙŠ Ø¥Ù†ØªØ±Ø§ÙƒØªÙŠÙ Ø¥Ù†ØªØ±ØªÙŠÙ†Ù…Ù†Øª ØªØ·ÙˆØ± ÙˆØªÙ†Ø´Ø± Ø³Ù„Ø³Ù„Ø© Ø¨Ù„Ø§ÙŠØ³ØªÙŠØ´Ù†.,sony,"Japanese electronics giant",Tech
guess_tech_brand,guess-tech-brand,hard,Which company developed the Android operating system?,Ø£ÙŠ Ø´Ø±ÙƒØ© Ø·ÙˆØ±Øª Ù†Ø¸Ø§Ù… ØªØ´ØºÙŠÙ„ AndroidØŸ,Apple,Google,Microsoft,Samsung,Google,"Google developed Android, which powers over 70% of the world's smartphones.",ØºÙˆØºÙ„ Ø·ÙˆØ±Øª Ø£Ù†Ø¯Ø±ÙˆÙŠØ¯ Ø§Ù„Ø°ÙŠ ÙŠØ´ØºÙ„ Ø£ÙƒØ«Ø± Ù…Ù† 70% Ù…Ù† Ù‡ÙˆØ§ØªÙ Ø§Ù„Ø¹Ø§Ù„Ù… Ø§Ù„Ø°ÙƒÙŠØ©.,android,"Green robot mascot",Tech
guess_stadium,guess-stadium,easy,Which stadium hosted the 2022 World Cup final?,Ø£ÙŠ Ù…Ù„Ø¹Ø¨ Ø§Ø³ØªØ¶Ø§Ù Ù†Ù‡Ø§Ø¦ÙŠ ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù… 2022ØŸ,MaracanÃ£,Camp Nou,Lusail Stadium,Wembley,Lusail Stadium,"Lusail Stadium hosted the 2022 World Cup final where Argentina defeated France.",Ø§Ø³ØªØ¶Ø§Ù Ù…Ù„Ø¹Ø¨ Ù„ÙˆØ³ÙŠÙ„ Ù†Ù‡Ø§Ø¦ÙŠ ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù… 2022 Ø­ÙŠØ« ÙØ§Ø²Øª Ø§Ù„Ø£Ø±Ø¬Ù†ØªÙŠÙ† Ø¹Ù„Ù‰ ÙØ±Ù†Ø³Ø§.,lusail,"Located in Qatar with a golden exterior",
guess_stadium,guess-stadium,medium,Which is the largest stadium in the world?,ما هو أكبر ملعب في العالم؟,Camp Nou,Maracana,Rungrado Stadium,Wembley,Rungrado Stadium,Rungrado Stadium is one of the largest stadiums in the world.,ملعب رونغرادو من أكبر الملاعب في العالم.,rungrado,Located in North Korea,stadium
guess_stadium,guess-stadium,medium,Which stadium is known as 'The Theatre of Dreams'?,Ø£ÙŠ Ù…Ù„Ø¹Ø¨ ÙŠØ¹Ø±Ù Ø¨Ø§Ø³Ù… 'Ù…Ø³Ø±Ø­ Ø§Ù„Ø£Ø­Ù„Ø§Ù…'ØŸ,Anfield,Old Trafford,Santiago Bernabeu,San Siro,Old Trafford,"Old Trafford, home of Manchester United, is nicknamed 'The Theatre of Dreams'.",Ø£ÙˆÙ„Ø¯ ØªØ±Ø§ÙÙˆØ±Ø¯ Ù…Ù„Ø¹Ø¨ Ù…Ø§Ù†Ø´Ø³ØªØ± ÙŠÙˆÙ†Ø§ÙŠØªØ¯ ÙŠÙ„Ù‚Ø¨ Ø¨Ù€ 'Ù…Ø³Ø±Ø­ Ø§Ù„Ø£Ø­Ù„Ø§Ù…'.,oldtrafford,"Home of Manchester United in England",
